"Reference","Value","Footprint","Tolerance","MPN","Qty","Package"
"C1,C2,C3,C4,C5,C6,C11,C12","100nF","Capacitor_SMD:C_1206_3216Metric","","","8","1206"
"C7,C8","1nF","Capacitor_SMD:C_1206_3216Metric","","","2","1206"
"C9,C10","10nF","Capacitor_SMD:C_1206_3216Metric","","","2","1206"
"C13,C14","47uF","Capacitor_SMD:C_1206_3216Metric","","","2","1206"
"IC1","DAC2932PFBT","SamacSys_Parts:QFP50P900X900X120-48N","","DAC2932PFBT","1","TQFP 48"
"J1","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","","1",""
"J2,J4,J6","22-23-2021","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","22-23-2021","3",""
"J3,J5","90122-0126","Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Horizontal","","90122-0126","2",""
"J7,J8","AMPHENOL_132357-11","ICTAMKY_V8:AMPHENOL_132357-11","","AMPHENOL_132357-11","2",""
"J9","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","","","1",""
"L1,L2","39OHM","Inductor_SMD:L_1206_3216Metric","1%","","2","1206"
"R1,R2,R3,R4,R7,R8","49.9","Resistor_SMD:R_1206_3216Metric","1%","","6","1206"
"R5,R6,R11","4.7K","Resistor_SMD:R_1206_3216Metric","1%","","3","1206"
"R9,R10","19.6K","Resistor_SMD:R_1206_3216Metric","1%","","2","1206"
"R12,R13,R14,R15","250","Resistor_SMD:R_1206_3216Metric","1%","","4","1206"
"U1","Pico","ICTAMKY_V8:RPi_Pico_SMD","","Pico","1",""
