"Reference","Value","Footprint","Tolerance","MPN","Qty","Package"
"C1,C2,C19","1uF","Capacitor_SMD_AKL:C_1206_3216Metric","","","3","1206"
"C5,C8,C10,C11,C12,C16,C17,C18,C20,C21","100nF","Capacitor_SMD_AKL:C_1206_3216Metric","","","10","1206"
"C6,C7,C9","22uF","Capacitor_SMD_AKL:C_1206_3216Metric","","","3",""
"C13,C15","18pF","Capacitor_SMD_AKL:C_1206_3216Metric","","","2","1206"
"C14","47uF","Capacitor_SMD_AKL:C_1206_3216Metric","","","1","1206"
"FB1,FB2,FB3","FerriteBead_Small","Inductor_SMD_AKL:L_1206_3216Metric","","","3","1206"
"IC2","FT600Q-B-T","ICTAMKY_V8:FT600Q-B-T","","","1",""
"J1","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","","1",""
"J2,J4,J6","22-23-2021","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","22-23-2021","3",""
"J3,J5","90122-0126","Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Horizontal","","90122-0126","2",""
"J7","Conn_Coaxial","ICTAMKY_V8:AMPHENOL_132357-11","","","1",""
"J8","ZX360D-B-10P_30_","SamacSys_Parts:ZX360DB10P30","","","1",""
"R1","56","Resistor_SMD_AKL:R_1206_3216Metric","","","1",""
"R2,R3,R9","110","Resistor_SMD_AKL:R_1206_3216Metric","1%","","3","1206"
"R4,R8","220","Resistor_SMD_AKL:R_1206_3216Metric","1%","","2","1206"
"R6","4.7K","Resistor_SMD_AKL:R_1206_3216Metric","1%","","1","1206"
"R7","10K","Resistor_SMD_AKL:R_1206_3216Metric","","","1",""
"U1","Pico","ICTAMKY_V8:RPi_Pico_SMD","","Pico","1",""
"U4","ADC08100CIMTCX/NOPB(TSSOP-24)","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","","","1",""
"Y1","30Mhz","Crystal:Crystal_SMD_Abracon_ABM7-2Pin_6.0x3.5mm","20ppm","ABM7-30.000MHZ-D2Y-T","1",""
