Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_1206_3216Metric,64.25,46.0,-90.0,top
C10,100nF,C_1206_3216Metric,66.75,36.5,90.0,top
C11,100nF,C_1206_3216Metric,56.75,28.25,90.0,top
C12,100nF,C_1206_3216Metric,60.75,36.0,90.0,top
C13,18pF,C_1206_3216Metric,55.975,4.125,180.0,top
C14,47uF,C_1206_3216Metric,51.5,28.25,90.0,top
C15,18pF,C_1206_3216Metric,60.975,4.125,0.0,top
C16,100nF,C_1206_3216Metric,72.5,6.75,180.0,top
C17,100nF,C_1206_3216Metric,63.25,36.0,90.0,top
C18,100nF,C_1206_3216Metric,72.5,9.25,180.0,top
C19,1uF,C_1206_3216Metric,76.25,41.0,90.0,top
C2,1uF,C_1206_3216Metric,69.25,41.25,90.0,top
C20,100nF,C_1206_3216Metric,81.0,41.0,90.0,top
C21,100nF,C_1206_3216Metric,81.5,8.25,0.0,top
C5,100nF,C_1206_3216Metric,53.5,15.5,180.0,top
C6,22uF,C_1206_3216Metric,78.5,35.75,-90.0,top
C7,22uF,C_1206_3216Metric,81.0,35.75,-90.0,top
C8,100nF,C_1206_3216Metric,76.25,35.75,-90.0,top
C9,22uF,C_1206_3216Metric,59.25,28.25,90.0,top
FB1,FerriteBead_Small,L_1206_3216Metric,81.75,10.75,0.0,top
FB2,FerriteBead_Small,L_1206_3216Metric,54.25,28.25,-90.0,top
FB3,FerriteBead_Small,L_1206_3216Metric,83.25,35.75,90.0,top
IC2,FT600Q-B-T,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,64.75,16.25,0.0,top
J1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,50.51,51.25,90.0,top
J2,22-23-2021,PinHeader_1x02_P2.54mm_Vertical,11.495,27.0,90.0,top
J3,90122-0126,PinSocket_2x06_P2.54mm_Horizontal,11.52,15.57,0.0,top
J4,22-23-2021,PinHeader_1x02_P2.54mm_Vertical,11.495,49.83,90.0,top
J5,90122-0126,PinSocket_2x06_P2.54mm_Horizontal,11.52,38.43,0.0,top
J6,22-23-2021,PinHeader_1x02_P2.54mm_Vertical,11.495,4.17,90.0,top
J7,Conn_Coaxial,AMPHENOL_132357-11,64.25,51.175,-90.0,top
J8,ZX360D-B-10P_30_,ZX360DB10P30,82.32,21.25,90.0,top
R1,56,R_1206_3216Metric,66.75,46.0,90.0,top
R2,110,R_1206_3216Metric,64.25,41.25,-90.0,top
R3,110,R_1206_3216Metric,71.75,41.25,-90.0,top
R4,220,R_1206_3216Metric,66.75,41.25,90.0,top
R5,1.6K,R_1206_3216Metric,67.5,4.0,180.0,top
R6,4.7K,R_1206_3216Metric,53.5,13.0,180.0,top
R7,10K,R_1206_3216Metric,70.75,28.25,90.0,top
R8,220,R_1206_3216Metric,78.5,41.0,-90.0,top
R9,110,R_1206_3216Metric,83.25,41.0,-90.0,top
U1,Pico,RPi_Pico_SMD,28.5,27.785,180.0,top
U4,ADC08100CIMTCX/NOPB(TSSOP-24),TSSOP-24_4.4x7.8mm_P0.65mm,64.75,28.25,-90.0,top
Y1,30Mhz,Crystal_SMD_Abracon_ABM7-2Pin_6.0x3.5mm,58.4,7.3,0.0,top
