Comment,Designator,Footprint,LCSC
FT600Q-B-T,IC2,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,
100nF,C5,C_1206_3216Metric,
ZX360D-B-10P_30_,J8,ZX360DB10P30,
Pico,U1,RPi_Pico_SMD,
18pF,C13,C_1206_3216Metric,
22-23-2021,J4,PinHeader_1x02_P2.54mm_Vertical,
30Mhz,Y1,Crystal_SMD_Abracon_ABM7-2Pin_6.0x3.5mm,
56,R1,R_1206_3216Metric,
90122-0126,J3,PinSocket_2x06_P2.54mm_Horizontal,
220,R4,R_1206_3216Metric,
22uF,C9,C_1206_3216Metric,
100nF,C12,C_1206_3216Metric,
Conn_Coaxial,J7,AMPHENOL_132357-11,
10K,R7,R_1206_3216Metric,
FerriteBead_Small,FB1,L_1206_3216Metric,
1.6K,R5,R_1206_3216Metric,
100nF,C10,C_1206_3216Metric,
18pF,C15,C_1206_3216Metric,
100nF,C11,C_1206_3216Metric,
100nF,C16,C_1206_3216Metric,
100nF,C18,C_1206_3216Metric,
100nF,C17,C_1206_3216Metric,
ADC08100CIMTCX/NOPB(TSSOP-24),U4,TSSOP-24_4.4x7.8mm_P0.65mm,
FerriteBead_Small,FB3,L_1206_3216Metric,
100nF,C20,C_1206_3216Metric,
220,R8,R_1206_3216Metric,
22uF,C6,C_1206_3216Metric,
47uF,C14,C_1206_3216Metric,
110,R9,R_1206_3216Metric,
4.7K,R6,R_1206_3216Metric,
110,R2,R_1206_3216Metric,
1uF,C1,C_1206_3216Metric,
100nF,C21,C_1206_3216Metric,
90122-0126,J5,PinSocket_2x06_P2.54mm_Horizontal,
FerriteBead_Small,FB2,L_1206_3216Metric,
100nF,C8,C_1206_3216Metric,
110,R3,R_1206_3216Metric,
22-23-2021,J6,PinHeader_1x02_P2.54mm_Vertical,
1uF,C19,C_1206_3216Metric,
1uF,C2,C_1206_3216Metric,
22uF,C7,C_1206_3216Metric,
Conn_01x04,J1,PinHeader_1x04_P2.54mm_Vertical,
22-23-2021,J2,PinHeader_1x02_P2.54mm_Vertical,
