"Reference","Value","Footprint","MPN","Qty"
"C1,C2,C5,C9,C10,C11,C17,C19,C22,C24,C26,C35,C38","100nF","Capacitor_SMD:C_1206_3216Metric","VJ1206Y104KXQCW1BC","13"
"C3,C4,C20,C25,C27,C29,C31,C33,C34,C36,C37,C39,C40","10uF","Capacitor_SMD:C_1206_3216Metric","KAF31GR71C106KU","13"
"C6","18nF","Capacitor_SMD:C_1206_3216Metric","","1"
"C7,C14","18pF","Capacitor_SMD:C_1206_3216Metric","","2"
"C8,C15,C42,C43,C45,C47,C48,C49","10nF","Capacitor_SMD:C_1206_3216Metric","","8"
"C12","22pF","Capacitor_SMD:C_1206_3216Metric","VJ1206A220JXQPW1BC","1"
"C13,C16,C28,C30,C32","1uF","Capacitor_SMD:C_1206_3216Metric","","5"
"C18,C21,C23","1nF","Capacitor_SMD:C_1206_3216Metric","GRM31C5C3A102JWA3L","3"
"C41","22nF","Capacitor_SMD:C_1206_3216Metric","","1"
"C44","6800pF","Capacitor_SMD:C_1206_3216Metric","","1"
"C46","33nF","Capacitor_SMD:C_1206_3216Metric","","1"
"D1,D3,D4","BAV99","Package_TO_SOT_SMD:SOT-23","","3"
"D2","LED","LED_SMD:LED_0805_2012Metric","","1"
"FB1,FB2,FB3,FB4,FB5","ILHB1206ER750V","Inductor_SMD:L_1206_3216Metric","BLM21BB750SN1D","5"
"IC1","RT9193-18GB","SOT94P279X130-5N","RT9193-18GB","1"
"IC2","AD8331ARQZ","PICO_ADC_Test:SOP64P600X175-20N","584-AD8331ARQZ","1"
"IC3","MCP4812-E_MS","PICO_ADC_Test:MCP4812-EMS","579-MCP4812-E/MS","1"
"J1","AMPHENOL_132357-11","ICTAMKY_V8:AMPHENOL_132357-11_EXT","142-0701-801","1"
"J2","ZX62D-B-5PA8(30)","ICTAMKY_V8:ZX62DB5PA830","","1"
"J3,J5,J7","22-23-2021","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","22-23-2021","3"
"J4,J6","90122-0126","Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Horizontal","90122-0126","2"
"R2,R3,R5,R6,R12,R13,R14,R15","10K","Resistor_SMD:R_1206_3216Metric","1206W4F1002T5E","8"
"R4,R8","100R","Resistor_SMD:R_1206_3216Metric","","2"
"R7","280R","Resistor_SMD:R_1206_3216Metric","CR1206-FX-2800ELF","1"
"R9","12K","Resistor_SMD:R_1206_3216Metric","","1"
"R10,R11","510R","Resistor_SMD:R_1206_3216Metric","","2"
"R16","390R","Resistor_SMD:R_1206_3216Metric","","1"
"U1","MD0100N8-G","Package_TO_SOT_SMD:SOT-89-3","MD0100N8-G","1"
"U2","msi2500","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","msi2500","1"
"U3","AP7313-30SAG","Package_TO_SOT_SMD:SOT-23","LD1117S50TR","1"
"U4","msi001","Package_DFN_QFN:QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm","msi001","1"
"Y2","Crystal_GND24","SamacSys_Parts:ECS2401833BCHNTR3","","1"
