Comment,Designator,Footprint,LCSC
1uF,C13,C_1206_3216Metric,
100nF,C9,C_1206_3216Metric,
10uF,C29,C_1206_3216Metric,
10nF,C45,C_1206_3216Metric,
1nF,C21,C_1206_3216Metric,
90122-0126,J4,PinSocket_2x06_P2.54mm_Horizontal,
10uF,C27,C_1206_3216Metric,
100nF,C26,C_1206_3216Metric,
10uF,C25,C_1206_3216Metric,
AD8331ARQZ,IC2,SOP64P600X175-20N,
10uF,C3,C_1206_3216Metric,
280R,R7,R_1206_3216Metric,
18pF,C7,C_1206_3216Metric,
10uF,C40,C_1206_3216Metric,
22-23-2021,J3,PinHeader_1x02_P2.54mm_Vertical,
10nF,C47,C_1206_3216Metric,
10uF,C34,C_1206_3216Metric,
10nF,C15,C_1206_3216Metric,
BAV99,D4,SOT-23,
100nF,C35,C_1206_3216Metric,
msi001,U4,QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm,
390R,R16,R_1206_3216Metric,
10K,R3,R_1206_3216Metric,
ILHB1206ER750V,FB4,L_1206_3216Metric,
BAV99,D1,SOT-23,
10uF,C20,C_1206_3216Metric,
ILHB1206ER750V,FB5,L_1206_3216Metric,
10nF,C8,C_1206_3216Metric,
90122-0126,J6,PinSocket_2x06_P2.54mm_Horizontal,
ZX62D-B-5PA8(30),J2,ZX62DB5PA830,
AP7313-30SAG,U3,SOT-23,
12K,R9,R_1206_3216Metric,
10nF,C48,C_1206_3216Metric,
LED,D2,LED_0805_2012Metric,
ILHB1206ER750V,FB3,L_1206_3216Metric,
10uF,C37,C_1206_3216Metric,
10uF,C39,C_1206_3216Metric,
10uF,C4,C_1206_3216Metric,
BAV99,D3,SOT-23,
22-23-2021,J7,PinHeader_1x02_P2.54mm_Vertical,
ILHB1206ER750V,FB1,L_1206_3216Metric,
1nF,C23,C_1206_3216Metric,
10uF,C36,C_1206_3216Metric,
10uF,C31,C_1206_3216Metric,
10K,R12,R_1206_3216Metric,
100nF,C17,C_1206_3216Metric,
MCP4812-E_MS,IC3,MCP4812-EMS,
10K,R15,R_1206_3216Metric,
100nF,C10,C_1206_3216Metric,
100nF,C5,C_1206_3216Metric,
RT9193-18GB,IC1,SOT94P279X130-5N,
Crystal_GND24,Y1,ECS2401833BCHNTR3,
100nF,C11,C_1206_3216Metric,
AMPHENOL_132357-11,J1,AMPHENOL_132357-11_EXT,
18nF,C6,C_1206_3216Metric,
MD0100N8-G,U1,SOT-89-3,
100nF,C22,C_1206_3216Metric,
100nF,C24,C_1206_3216Metric,
33nF,C46,C_1206_3216Metric,
ILHB1206ER750V,FB2,L_1206_3216Metric,
22pF,C12,C_1206_3216Metric,
1uF,C28,C_1206_3216Metric,
10K,R5,R_1206_3216Metric,
510R,R10,R_1206_3216Metric,
1nF,C18,C_1206_3216Metric,
1uF,C16,C_1206_3216Metric,
1uF,C30,C_1206_3216Metric,
100nF,C38,C_1206_3216Metric,
10nF,C49,C_1206_3216Metric,
10K,R6,R_1206_3216Metric,
10K,R14,R_1206_3216Metric,
100R,R4,R_1206_3216Metric,
22nF,C41,C_1206_3216Metric,
100R,R8,R_1206_3216Metric,
msi2500,U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,
10nF,C42,C_1206_3216Metric,
22-23-2021,J5,PinHeader_1x02_P2.54mm_Vertical,
1uF,C32,C_1206_3216Metric,
100nF,C19,C_1206_3216Metric,
18pF,C14,C_1206_3216Metric,
10nF,C43,C_1206_3216Metric,
510R,R11,R_1206_3216Metric,
100nF,C2,C_1206_3216Metric,
10K,R2,R_1206_3216Metric,
10uF,C33,C_1206_3216Metric,
6800pF,C44,C_1206_3216Metric,
10K,R13,R_1206_3216Metric,
100nF,C1,C_1206_3216Metric,
