Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_1206_3216Metric",73.500000,30.000000,180.000000,top
"C2","100nF","C_1206_3216Metric",66.250000,11.750000,-90.000000,top
"C3","10uF","C_1206_3216Metric",22.750000,24.250000,180.000000,top
"C4","10uF","C_1206_3216Metric",22.750000,21.750000,180.000000,top
"C5","100nF","C_1206_3216Metric",69.500000,33.500000,-90.000000,top
"C6","18nF","C_1206_3216Metric",67.000000,33.500000,90.000000,top
"C7","18pF","C_1206_3216Metric",18.750000,31.850000,-90.000000,top
"C8","10nF","C_1206_3216Metric",22.750000,26.750000,0.000000,top
"C9","100nF","C_1206_3216Metric",68.750000,11.750000,-90.000000,top
"C10","100nF","C_1206_3216Metric",58.800000,33.475000,-90.000000,top
"C11","100nF","C_1206_3216Metric",61.200000,33.475000,-90.000000,top
"C12","22pF","C_1206_3216Metric",72.000000,33.500000,90.000000,top
"C13","1uF","C_1206_3216Metric",21.000000,16.500000,90.000000,top
"C14","18pF","C_1206_3216Metric",18.750000,36.825000,-90.000000,top
"C15","10nF","C_1206_3216Metric",33.000000,16.500000,-90.000000,top
"C16","1uF","C_1206_3216Metric",38.500000,36.000000,90.000000,top
"C17","100nF","C_1206_3216Metric",57.250000,22.500000,180.000000,top
"C18","1nF","C_1206_3216Metric",61.500000,26.250000,-90.000000,top
"C19","100nF","C_1206_3216Metric",57.250000,25.000000,180.000000,top
"C20","10uF","C_1206_3216Metric",36.000000,36.000000,90.000000,top
"C21","1nF","C_1206_3216Metric",78.000000,16.500000,90.000000,top
"C22","100nF","C_1206_3216Metric",80.500000,16.500000,90.000000,top
"C23","1nF","C_1206_3216Metric",75.750000,24.750000,-90.000000,top
"C24","100nF","C_1206_3216Metric",73.500000,24.750000,-90.000000,top
"C25","10uF","C_1206_3216Metric",52.612500,32.162500,180.000000,top
"C26","100nF","C_1206_3216Metric",52.637500,34.512500,180.000000,top
"C27","10uF","C_1206_3216Metric",42.150000,26.000000,0.000000,top
"C28","1uF","C_1206_3216Metric",42.150000,33.500000,0.000000,top
"C29","10uF","C_1206_3216Metric",42.150000,28.500000,0.000000,top
"C30","1uF","C_1206_3216Metric",42.150000,31.000000,0.000000,top
"C31","10uF","C_1206_3216Metric",23.500000,9.750000,90.000000,top
"C32","1uF","C_1206_3216Metric",54.250000,10.000000,180.000000,top
"C33","10uF","C_1206_3216Metric",57.250000,3.000000,90.000000,top
"C34","10uF","C_1206_3216Metric",53.750000,3.000000,90.000000,top
"C35","100nF","C_1206_3216Metric",54.250000,12.500000,180.000000,top
"C36","10uF","C_1206_3216Metric",29.500000,46.500000,-90.000000,top
"C37","10uF","C_1206_3216Metric",35.500000,46.500000,-90.000000,top
"C38","100nF","C_1206_3216Metric",54.250000,15.000000,180.000000,top
"C39","10uF","C_1206_3216Metric",18.000000,46.500000,-90.000000,top
"C40","10uF","C_1206_3216Metric",21.750000,50.000000,180.000000,top
"C41","22nF","C_1206_3216Metric",25.250000,46.500000,90.000000,top
"C42","10nF","C_1206_3216Metric",50.500000,3.000000,90.000000,top
"C43","10nF","C_1206_3216Metric",48.250000,18.500000,-90.000000,top
"C44","6800pF","C_1206_3216Metric",47.500000,3.750000,90.000000,top
"C45","10nF","C_1206_3216Metric",39.500000,3.750000,-90.000000,top
"C46","33nF","C_1206_3216Metric",44.000000,3.750000,90.000000,top
"C47","10nF","C_1206_3216Metric",43.750000,18.500000,-90.000000,top
"C48","10nF","C_1206_3216Metric",37.250000,3.750000,-90.000000,top
"C49","10nF","C_1206_3216Metric",39.250000,11.750000,90.000000,top
"D1","BAV99","SOT-23",66.500000,39.750000,0.000000,top
"D2","LED","LED_0805_2012Metric",40.750000,46.500000,-90.000000,top
"D3","BAV99","SOT-23",31.000000,10.250000,180.000000,top
"D4","BAV99","SOT-23",27.000000,10.250000,0.000000,top
"FB1","ILHB1206ER750V","L_1206_3216Metric",66.000000,16.500000,-90.000000,top
"FB2","ILHB1206ER750V","L_1206_3216Metric",69.500000,38.250000,-90.000000,top
"FB3","ILHB1206ER750V","L_1206_3216Metric",68.500000,16.500000,-90.000000,top
"FB4","ILHB1206ER750V","L_1206_3216Metric",83.000000,16.500000,90.000000,top
"FB5","ILHB1206ER750V","L_1206_3216Metric",78.000000,24.775000,90.000000,top
"IC1","RT9193-18GB","SOT94P279X130-5N",21.750000,46.500000,0.000000,top
"IC2","AD8331ARQZ","SOP64P600X175-20N",67.250000,24.750000,-90.000000,top
"IC3","MCP4812-E_MS","MCP4812-EMS",56.450000,28.875000,0.000000,top
"J1","AMPHENOL_132357-11","AMPHENOL_132357-11_EXT",71.000000,52.750000,-90.000000,top
"J2","ZX62D-B-5PA8(30)","ZX62DB5PA830",29.262000,2.300000,0.000000,top
"J3","22-23-2021","PinHeader_1x02_P2.54mm_Vertical",10.000000,50.120000,90.000000,top
"J4","90122-0126","PinSocket_2x06_P2.54mm_Horizontal",12.540000,45.030000,0.000000,top
"J5","22-23-2021","PinHeader_1x02_P2.54mm_Vertical",10.000000,27.250000,90.000000,top
"J6","90122-0126","PinSocket_2x06_P2.54mm_Horizontal",12.540000,22.170000,0.000000,top
"J7","22-23-2021","PinHeader_1x02_P2.54mm_Vertical",10.000000,4.390000,90.000000,top
"R2","10K","R_1206_3216Metric",75.500000,16.500000,90.000000,top
"R3","10K","R_1206_3216Metric",73.250000,16.500000,90.000000,top
"R4","100R","R_1206_3216Metric",63.750000,16.500000,-90.000000,top
"R5","10K","R_1206_3216Metric",61.250000,16.500000,90.000000,top
"R6","10K","R_1206_3216Metric",59.000000,16.500000,90.000000,top
"R7","280R","R_1206_3216Metric",64.750000,33.500000,-90.000000,top
"R8","100R","R_1206_3216Metric",71.000000,16.500000,-90.000000,top
"R9","12K","R_1206_3216Metric",57.250000,20.250000,180.000000,top
"R10","510R","R_1206_3216Metric",38.500000,46.500000,-90.000000,top
"R11","510R","R_1206_3216Metric",33.500000,36.000000,-90.000000,top
"R12","10K","R_1206_3216Metric",23.580000,16.537500,-90.000000,top
"R13","10K","R_1206_3216Metric",26.000000,16.500000,-90.000000,top
"R14","10K","R_1206_3216Metric",28.330000,16.500000,-90.000000,top
"R15","10K","R_1206_3216Metric",30.580000,16.537500,-90.000000,top
"R16","390R","R_1206_3216Metric",41.750000,3.750000,90.000000,top
"U1","MD0100N8-G","SOT-89-3",71.362500,43.000000,0.000000,top
"U2","msi2500","QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm",31.250000,26.950000,90.000000,top
"U3","AP7313-30SAG","SOT-23",32.500000,48.750000,90.000000,top
"U4","msi001","QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm",45.000000,11.500000,-90.000000,top
"Y2","Crystal_GND24","ECS2401833BCHNTR3",22.750000,34.650000,-90.000000,top
