Altium Designer Pick and Place Locations
E:\FREEL\Luc\New Pulser 10-2023\Design files\Project Outputs for Pulser_10-2023\Pick Place\Pick Place for Pulser_10-2023.txt

========================================================================================================================
File Design Information:

Date:       29/10/23
Time:       22:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                  Layer    Footprint                           Center-X(mm) Center-Y(mm) Rotation Description                                                          
IC7        TC74VHC08F_EL,K,F_       TopLayer SOIC127P780X190-14N_                15.8000      32.6500      90       Hardware                                                             
IC6        SN74LVC2G04DRLR          TopLayer SOTFL50P160X60-6N                   7.9502       33.4518      0        "Integrated Circuit"                                                 
LED5       LTST-C190GKT             TopLayer LEDC1608X90N                        46.1500      39.6500      270      LED                                                                  
LED4       LTST-C190GKT             TopLayer LEDC1608X90N                        27.6500      39.6250      270      LED                                                                  
LED3       LTST-C190GKT             TopLayer LEDC1608X90N                        29.8000      39.6250      270      LED                                                                  
LED2       LTST-C190GKT             TopLayer LEDC1608X90N                        31.9250      39.6250      270      LED                                                                  
LED1       LTST-C190GKT             TopLayer LEDC1608X90N                        34.0750      39.6250      270      LED                                                                  
R15        0R                       TopLayer 0402_R                              17.5514      11.9380      360      Res_0402_EU                                                          
R14        0R                       TopLayer 0402_R                              13.7922      11.9380      360      Res_0402_EU                                                          
D4         MMBD7000HS-7-F           TopLayer SOT96P240X110-3N_                   11.5750      21.2000      360      Diode                                                                
D3         MMBD7000HS-7-F           TopLayer SOT96P240X110-3N_                   16.0750      9.1750       270      Diode                                                                
D2         MMBD7000HS-7-F           TopLayer SOT96P240X110-3N_                   12.3250      9.3000       270      Diode                                                                
Y1         ABM8G-24.000MHZ-18-D2Y-T TopLayer ABM8G                               50.6750      30.7500      90       "Crystal or Oscillator"                                              
GPIO3      TP                       TopLayer TP_1mm                              27.6500      33.3750      90       Connector                                                            
GPIO2      TP                       TopLayer TP_1mm                              29.8000      33.3500      90       Connector                                                            
GPIO1      TP                       TopLayer TP_1mm                              31.9000      33.3500      90       Connector                                                            
GPIO0      TP                       TopLayer TP_1mm                              34.0250      33.3500      90       Connector                                                            
TP1        TP                       TopLayer TP_1mm                              35.5500      33.3500      90       Connector                                                            
R28        470R                     TopLayer 0402_R                              46.2000      36.3500      90       "RES 10K OHM 1/16W 1% 0402 SMD"                                      
R27        470R                     TopLayer 0402_R                              27.6250      36.1750      90       "RES 10K OHM 1/16W 1% 0402 SMD"                                      
R26        470R                     TopLayer 0402_R                              29.8000      36.2000      90       "RES 10K OHM 1/16W 1% 0402 SMD"                                      
R25        470R                     TopLayer 0402_R                              31.9500      36.2000      90       "RES 10K OHM 1/16W 1% 0402 SMD"                                      
R24        470R                     TopLayer 0402_R                              34.1000      36.2000      90       "RES 10K OHM 1/16W 1% 0402 SMD"                                      
R23        10k                      TopLayer 0402_R                              17.6750      18.3250      360      "RES 10K OHM 1/16W 1% 0402 SMD"                                      
R22        10k                      TopLayer 0402_R                              17.7000      15.3750      360      "RES 10K OHM 1/16W 1% 0402 SMD"                                      
R21        10k                      TopLayer 0402_R                              17.7000      14.2750      360      "RES 10K OHM 1/16W 1% 0402 SMD"                                      
R20        10k                      TopLayer 0402_R                              33.4000      12.7250      270      "RES 10K OHM 1/16W 1% 0402 SMD"                                      
R19        158R                     TopLayer 0402_R                              38.8250      15.3750      360      "RES 18 OHM 1/16W 0402 SMD"                                          
R18        84.5R                    TopLayer 0402_R                              32.7152      18.0086      360      "RES 10K OHM 1/16W 0402 SMD"                                         
R17        158R                     TopLayer 0402_R                              38.8250      14.3750      360      "RES 18 OHM 1/16W 0402 SMD"                                          
R16        84.5R                    TopLayer 0402_R                              32.6136      16.8148      360      "RES 10K OHM 1/16W 0402 SMD"                                         
R13        10k                      TopLayer 0402_R                              50.8000      12.2000      180      "RES 10K OHM 1/16W 1% 0402 SMD"                                      
R12        10k                      TopLayer 0402_R                              41.2750      26.6250      180      "RES 10K OHM 1/16W 1% 0402 SMD"                                      
L2         AIML-0805HC-1R5M-T       TopLayer INDC2012X95N                        37.2500      18.0750      0        Inductor                                                             
L1         AIML-0805HC-1R5M-T       TopLayer INDC2012X95N                        36.5500      15.3250      270      Inductor                                                             
K3         SMA_Edge                 TopLayer AMPHENOL_132357-11                  24.9750      3.4375       90       ""                                                                   
K2         SMA_Edge                 TopLayer AMPHENOL_132357-11                  13.5750      3.5125       90       ""                                                                   
J3         10118193-0001LF          TopLayer 101181930001LF                      53.4575      22.6000      90       Connector                                                            
IC8        MCP4812-E_MS             TopLayer SOP65P490X110-8N                    9.1500       25.5750      360      "Integrated Circuit"                                                 
IC5        TPS7A2033PDBVR           TopLayer SOT95P280X145-5N                    51.6726      35.4784      180      "Integrated Circuit"                                                 
IC4        MSI2500                  TopLayer QFN50P500X500X90-33N-D              45.5750      27.1500      0        Connector                                                            
D6         ESD101B102ELSE6327XTSA1  TopLayer ESD207B102ELE6327                   50.6000      21.6250      360      "TVS Diode (Bi-directional)"                                         
D5         ESD101B102ELSE6327XTSA1  TopLayer ESD207B102ELE6327                   50.6000      22.9250      180      "TVS Diode (Bi-directional)"                                         
C58        cap0402                  TopLayer 0402_C                              50.2250      19.8000      360      "Capacitor  0402 inch"                                               
C56        cap0402                  TopLayer 0402_C                              17.0180      13.3604      360      "Capacitor  0402 inch"                                               
