Altium Designer Pick and Place Locations
E:\FREEL\Luc\PMODs\AFE# 1\Project Outputs for Free Documents\Pick Place\Pick Place for AFE#1.csv

========================================================================================================================
File Design Information:

Date:       29/07/22
Time:       15:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U2","TC1107-5.0VUA","TopLayer","MSOP8_MC_MCH_","14.6750","7.2750","180","No Description Available"
"PS1","AP2127N-1.8TRG1","TopLayer","SOT89P240X110-3N","14.3250","13.8000","180","Power Supply"
"K1","SMA_Edge","TopLayer","AMPHENOL_132357-11","39.2125","21.3250","180",""
"D1","BAV99-7-F","TopLayer","SOT95P240X120-3N","34.0750","16.5500","90","Diode"
"SP5","SolderPad D1mm_round","TopLayer","SolderPad_D1mm__round","16.7500","4.5250","90","for finger touch"
"SP3","SolderPad D1mm_round","TopLayer","SolderPad_D1mm__round","18.7500","14.6750","90","for finger touch"
"SP2","SolderPad D1mm_round","TopLayer","SolderPad_D1mm__round","29.3250","26.9500","90","for finger touch"
"SP1","SolderPad D1mm_round","TopLayer","SolderPad_D1mm__round","25.2000","27.0250","90","for finger touch"
"R11","10k","TopLayer","0402_R","26.7000","15.4250","90","RES 10K OHM 1/16W 1% 0402 SMD"
"R10","10k","TopLayer","0402_R","25.7000","15.4250","90","RES 10K OHM 1/16W 1% 0402 SMD"
"R9","10k","TopLayer","0402_R","21.5750","16.9750","360","RES 10K OHM 1/16W 1% 0402 SMD"
"R8","12k","TopLayer","0402_R","22.9000","26.0250","90","RES 12K OHM 1/16W 0402 SMD"
"R7","280","TopLayer","0402_R","31.5000","20.4000","0","RES 280 OHM 1/16W 0402 SMD"
"R6","10k","TopLayer","0402_R","21.5500","15.9250","0","RES 10K OHM 1/16W 1% 0402 SMD"
"R5","18R","TopLayer","0402_R","19.7750","20.8250","180","RES 18 OHM 1/16W 0402 SMD"
"R4","100R","TopLayer","0402_R","21.8500","20.8750","180","RES 10K OHM 1/16W 0402 SMD"
"R3","10K","TopLayer","0402_R","18.3750","24.1000","180","RES 10K OHM 1/16W 0402 SMD"
"R2","18R","TopLayer","0402_R","19.7750","21.8250","180","RES 18 OHM 1/16W 0402 SMD"
"R1","100R","TopLayer","0402_R","21.8750","21.8750","180","RES 10K OHM 1/16W 0402 SMD"
